placeId,address,category,phone,latitude,longitude,status,type,googleUrl,storeName,ratingText,stars,numberOfReviews,tileNumber
Jrbbx-xHJ5zsRiSApgCBXgv4,"116 Patil House, Gavkari Mandal",Shopping mall,NA,19.0535852,72.8715688,Avaliable,In-store shopping,https://www.google.com/maps/place/Patil+Shopping+Mini+Mall/data=!4m7!3m6!1s0x3be7c911fbf1b6ad:0xfe82572080292089!8m2!3d19.0535852!4d72.8715688!16s%2Fg%2F11gm84661n!19sChIJrbbx-xHJ5zsRiSApgCBXgv4?authuser=0&hl=en&rclk=1,Patil Shopping Mini Mall,4.9 stars 7 Reviews,4.9,7,"z=16,x=46033,y=29233"
Jz91Y88bI5zsRoj7-JDaRufg,"Shop No 4, Maitri Shopping Centre, opposite Hanuman Mandir",Cake shop,NA,19.0531744,72.8708129,Avaliable,Takeaway,https://www.google.com/maps/place/Monginis+Cake+Shop/data=!4m7!3m6!1s0x3be7c8c6f358ddcf:0xf8b9913624fe3ea2!8m2!3d19.0531744!4d72.8708129!16s%2Fg%2F113gs481s!19sChIJz91Y88bI5zsRoj7-JDaRufg?authuser=0&hl=en&rclk=1,Monginis Cake Shop,3.9 stars 143 Reviews,3.9,143,"z=16,x=46033,y=29233"
Jq6qqur_I5zsRVHxtZV_7SA4,"D-16, 17",Supermarket, 096195 34863,19.062863,72.8825803,Avaliable,"""Good shop we love to shop there""",https://www.google.com/maps/place/Chheda+Super+Mart/data=!4m7!3m6!1s0x3be7c8bfbaaaaaab:0xe48fb5f656d7c54!8m2!3d19.062863!4d72.8825803!16s%2Fg%2F1td3k1kq!19sChIJq6qqur_I5zsRVHxtZV_7SA4?authuser=0&hl=en&rclk=1,Chheda Super Mart,4.0 stars 378 Reviews,4,378,"z=16,x=46035,y=29231"
Jec6bgyDJ5zsRmyLRAiu3giI,"Kurla, A-402/403, SG Barve Marg",General store,084520 39448,19.0648694,72.8789194,Avaliable,NA,https://www.google.com/maps/place/Shashibhushan+Shop/data=!4m7!3m6!1s0x3be7c920839bce79:0x2282b72b02d1229b!8m2!3d19.0648694!4d72.8789194!16s%2Fg%2F11vs2zzltq!19sChIJec6bgyDJ5zsRmyLRAiu3giI?authuser=0&hl=en&rclk=1,Shashibhushan Shop,NA,,,"z=16,x=46035,y=29231"
JgVjBA6TJ5zsRbptlqfBQCTg,"E, 02, near 9 No Bus Depo",General store,081044 45251,19.0638248,72.8796001,Avaliable,NA,https://www.google.com/maps/place/Afroz+Ansari+Shop/data=!4m7!3m6!1s0x3be7c9a403c15881:0x380950f0a9659b6e!8m2!3d19.0638248!4d72.8796001!16s%2Fg%2F11y2mjphz4!19sChIJgVjBA6TJ5zsRbptlqfBQCTg?authuser=0&hl=en&rclk=1,Afroz Ansari Shop,NA,,,"z=16,x=46035,y=29231"
JM_Jehb3I5zsR4BRhF2JKeDI,"Shop No.B-18, S.G Barve Marg, Kedarnath Mandir Marg",General store, 099209 58257,19.0619584,72.8833116,Avaliable,NA,https://www.google.com/maps/place/A1+Kirana+%26+General+Store/data=!4m7!3m6!1s0x3be7c8bd855ef233:0x32784a62176114e0!8m2!3d19.0619584!4d72.8833116!16s%2Fg%2F1ptyqp1w6!19sChIJM_Jehb3I5zsR4BRhF2JKeDI?authuser=0&hl=en&rclk=1,A1 Kirana & General Store,4.0 stars 2 Reviews,4,2,"z=16,x=46036,y=29232"
J7cwjn2XJ5zsR5IL68fpbWPI,undefined,Fruit and vegetable store099306 65315,099306 65315,19.0644661,72.8820968,Avaliable,NA,https://www.google.com/maps/place/Vegetable+Shop/data=!4m7!3m6!1s0x3be7c9659f23cced:0xf2585bfaf1fa82e4!8m2!3d19.0644661!4d72.8820968!16s%2Fg%2F11vk2tlkkc!19sChIJ7cwjn2XJ5zsR5IL68fpbWPI?authuser=0&hl=en&rclk=1,Vegetable Shop,NA,,,"z=16,x=46035,y=29231"
JuTIqoJzJ5zsRLNhNNXz1Q58,Shop No1,Supermarket,087791 98919,19.0623003,72.8834279,Avaliable,NA,https://www.google.com/maps/place/Md+Shadab+Shop/data=!4m7!3m6!1s0x3be7c99ca02a32b9:0x9f43f57c354dd82c!8m2!3d19.0623003!4d72.8834279!16s%2Fg%2F11vlfvwlgj!19sChIJuTIqoJzJ5zsRLNhNNXz1Q58?authuser=0&hl=en&rclk=1,Md Shadab Shop,5.0 stars 1 Reviews,5,1,"z=16,x=46036,y=29231"
J1anD5sHJ5zsRZu74xgz9MDE,"Shop No. 14, Baba Home Appartment",Store,070213 22246,19.0629231,72.882771,Avaliable,NA,https://www.google.com/maps/place/Little+Store/data=!4m7!3m6!1s0x3be7c9c1e6c3a9d5:0x3130fd0cc6f8ee66!8m2!3d19.0629231!4d72.882771!16s%2Fg%2F11k4b9w99y!19sChIJ1anD5sHJ5zsRZu74xgz9MDE?authuser=0&hl=en&rclk=1,Little Store,NA,,,"z=16,x=46035,y=29231"
JvakJ0-_J5zsR43NVlIP85xQ,"Shop No 1, Nehru Nagar, Bus Depo, 9 No, Kurla W Sta Rd, opp. Kurla",General store,093243 35858,19.0624269,72.8790706,Avaliable,NA,https://www.google.com/maps/place/Inayat+General+Store/data=!4m7!3m6!1s0x3be7c9efd309a9bd:0x14e7fc83945573e3!8m2!3d19.0624269!4d72.8790706!16s%2Fg%2F11y2mk9wn0!19sChIJvakJ0-_J5zsR43NVlIP85xQ?authuser=0&hl=en&rclk=1,Inayat General Store,NA,,,"z=16,x=46035,y=29231"
J-5mf3r3I5zsRsF4mA8gXrIo,"3V6J+87X, Kedarnath Mandir Marg",Pharmacy, 098198 57707,19.0608583,72.8807245,Avaliable,Delivery,https://www.google.com/maps/place/Pooja+medical+and+general+stores/data=!4m7!3m6!1s0x3be7c8bdde9f99fb:0x8aac17c803265eb0!8m2!3d19.0608583!4d72.8807245!16s%2Fg%2F1ptw68rc1!19sChIJ-5mf3r3I5zsRsF4mA8gXrIo?authuser=0&hl=en&rclk=1,Pooja medical and general stores,4.8 stars 9 Reviews,4.8,9,"z=16,x=46035,y=29232"
Jy5Snd5bI5zsR3xG4TiSypKQ,"E, Shop No.-13/14, Metro Orchid Polis Sg Barve Marg, No.-S, B Barve Marg",General store, 097023 46469,19.0645517,72.8810478,Avaliable,NA,https://www.google.com/maps/place/Super+Kirana+%26+General+Store/data=!4m7!3m6!1s0x3be7c89677a794cb:0xa4a4b2244eb811df!8m2!3d19.0645517!4d72.8810478!16s%2Fg%2F11rqslsdpn!19sChIJy5Snd5bI5zsR3xG4TiSypKQ?authuser=0&hl=en&rclk=1,Super Kirana & General Store,NA,,,"z=16,x=46035,y=29231"
JDUdyIQ7J5zsRVDE65VHMs1g,"Shop No 4, Nahin Nagar S K P School",Store,072788 87799,19.0636021,72.8831959,Avaliable,NA,https://www.google.com/maps/place/Vishal+Suresh+avasare+Shop/data=!4m7!3m6!1s0x3be7c90e2172470d:0x58b3cc51e53a3154!8m2!3d19.0636021!4d72.8831959!16s%2Fg%2F11tx58f29q!19sChIJDUdyIQ7J5zsRVDE65VHMs1g?authuser=0&hl=en&rclk=1,Vishal Suresh avasare Shop,NA,,,"z=16,x=46035,y=29231"
Jb2Cv5orJ5zsR9tg2r0HjM4Q,"31, Haji Karamat Ali Rd",General store,082917 52068,19.0597139,72.8772091,Avaliable,In-store shopping,https://www.google.com/maps/place/Afroz+Begum%27s+Shop/data=!4m7!3m6!1s0x3be7c98ae6af606f:0x8433e341af36d8f6!8m2!3d19.0597139!4d72.8772091!16s%2Fg%2F11khf33jvq!19sChIJb2Cv5orJ5zsR9tg2r0HjM4Q?authuser=0&hl=en&rclk=1,Afroz Begum's Shop,NA,,,"z=16,x=46034,y=29232"
Jk9kXib3I5zsR5DTtmqo445U,"41, SG Barve Marg",Stationery store, 098190 77878,19.0623704,72.8830422,Avaliable,In-store shopping,https://www.google.com/maps/place/Prabhat+General+Stores/data=!4m7!3m6!1s0x3be7c8bd8917d993:0x95e338aa9aed34e4!8m2!3d19.0623704!4d72.8830422!16s%2Fg%2F1tfpsr74!19sChIJk9kXib3I5zsR5DTtmqo445U?authuser=0&hl=en&rclk=1,Prabhat General Stores,4.0 stars 31 Reviews,4,31,"z=16,x=46035,y=29231"
JYfKzUAPJ5zsRAbhBYJNpV0E,SG Barve Marg,Wine store,NA,19.0606025,72.8835283,Avaliable,Delivery,https://www.google.com/maps/place/Vishal+wine+shop/data=!4m7!3m6!1s0x3be7c90350b3f261:0x415769936041b801!8m2!3d19.0606025!4d72.8835283!16s%2Fg%2F11nrs46v90!19sChIJYfKzUAPJ5zsRAbhBYJNpV0E?authuser=0&hl=en&rclk=1,Vishal wine shop,3.9 stars 34 Reviews,3.9,34,"z=16,x=46036,y=29232"
JnWJEgdHJ5zsRfHcVEuXv9fk,Shop No 02,Tea store,086920 27592,19.0625432,72.8790696,Avaliable,Delivery,https://www.google.com/maps/place/Sharad+Shop/data=!4m7!3m6!1s0x3be7c9d18144629d:0xf9f5efe51215777c!8m2!3d19.0625432!4d72.8790696!16s%2Fg%2F11t4jngxkx!19sChIJnWJEgdHJ5zsRfHcVEuXv9fk?authuser=0&hl=en&rclk=1,Sharad Shop,NA,,,"z=16,x=46035,y=29231"
Jf2txi_bJ5zsRZLBfEDBZifY,"Shop No 2 Patri No 9, Hayat Hotel, opp. Bus Depot",General store,080907 50756,19.0638946,72.8796371,Avaliable,NA,https://www.google.com/maps/place/ABBUL+GENERAL+STORE/data=!4m7!3m6!1s0x3be7c9f68b716b7f:0xf6895930105fb064!8m2!3d19.0638946!4d72.8796371!16s%2Fg%2F11l77y2t62!19sChIJf2txi_bJ5zsRZLBfEDBZifY?authuser=0&hl=en&rclk=1,ABBUL GENERAL STORE,NA,,,"z=16,x=46035,y=29231"
JUUCWdcPJ5zsRrqL8WWx1VKU,"Shop No 1, Opt Mass Group",General store,093239 95544,19.0637849,72.8815554,Avaliable,NA,https://www.google.com/maps/place/Mohammed+Salman+Khan+Shop/data=!4m7!3m6!1s0x3be7c9c375964051:0xa554756c59fca2ae!8m2!3d19.0637849!4d72.8815554!16s%2Fg%2F11strsscb2!19sChIJUUCWdcPJ5zsRrqL8WWx1VKU?authuser=0&hl=en&rclk=1,Mohammed Salman Khan Shop,NA,,,"z=16,x=46035,y=29231"
JXWqfk4TJ5zsRezf279Hb8qw,Shop No. 54,General store,084869 52774,19.0598949,72.8773901,Avaliable,NA,https://www.google.com/maps/place/Rishi+General+Store/data=!4m7!3m6!1s0x3be7c984939f6a5d:0xacf2dbd1eff6377b!8m2!3d19.0598949!4d72.8773901!16s%2Fg%2F11rdn4v6zd!19sChIJXWqfk4TJ5zsRezf279Hb8qw?authuser=0&hl=en&rclk=1,Rishi General Store,NA,,,"z=16,x=46034,y=29232"
JO9ezEY_J5zsR_YCdcm1sBLo,"shop no 3, Orchid Metropolis, Cluster_mumbai Suburban_368, near kurla station",Medical group, 096197 50170,19.0647529,72.8806705,Avaliable,In-store shopping,https://www.google.com/maps/place/Curewell+Pharmacy+%26+Supermarket/data=!4m7!3m6!1s0x3be7c98f11b3d73b:0xba046c6d729d80fd!8m2!3d19.0647529!4d72.8806705!16s%2Fg%2F11pf1v8ml7!19sChIJO9ezEY_J5zsR_YCdcm1sBLo?authuser=0&hl=en&rclk=1,Curewell Pharmacy & Supermarket,5.0 stars 16 Reviews,5,16,"z=16,x=46035,y=29231"
JrwQO33_J5zsRasmGmRWtNDc,"C Wing, Jaihind Budha Vikas Shetty Bldg, Shop No 2",Grocery store,086044 09239,19.0655254,72.8826128,Avaliable,NA,https://www.google.com/maps/place/PRIYA+YADAV+STORE/data=!4m7!3m6!1s0x3be7c97fdf0e04af:0x3734ad159986c96a!8m2!3d19.0655254!4d72.8826128!16s%2Fg%2F11vt5gyx_d!19sChIJrwQO33_J5zsRasmGmRWtNDc?authuser=0&hl=en&rclk=1,PRIYA YADAV STORE,NA,,,"z=16,x=46035,y=29231"
J-TSVBm3J5zsRlselTq4HxwE,"E, shop1249 deary road, SG Barve Marg",General store,091372 12895,19.0646048,72.882307,Avaliable,NA,https://www.google.com/maps/place/imran+pan+bidi+shop/data=!4m7!3m6!1s0x3be7c96d069534f9:0x1c707ae4ea5c796!8m2!3d19.0646048!4d72.882307!16s%2Fg%2F11v1b957vx!19sChIJ-TSVBm3J5zsRlselTq4HxwE?authuser=0&hl=en&rclk=1,imran pan bidi shop,NA,,,"z=16,x=46035,y=29231"
Jc5yLmbXJ5zsR4oub646LCbE,Shop No 1,General store,097737 19184,19.0600537,72.8778392,Avaliable,Delivery,https://www.google.com/maps/place/Bismillah+Kirana+Store/data=!4m7!3m6!1s0x3be7c9b5998b9c73:0xb1098b8eeb9b8be2!8m2!3d19.0600537!4d72.8778392!16s%2Fg%2F11srq3wh6n!19sChIJc5yLmbXJ5zsR4oub646LCbE?authuser=0&hl=en&rclk=1,Bismillah Kirana Store,5.0 stars 1 Reviews,5,1,"z=16,x=46035,y=29232"
Jo1TCq1PJ5zsRLUp17rwQzL8,SG Barve Marg,Print shop,082868 39792,19.0627441,72.8828679,Avaliable,NA,https://www.google.com/maps/place/Sai+Pan+Bidi+Shop/data=!4m7!3m6!1s0x3be7c953abc254a3:0xbfcc10bcee754a2d!8m2!3d19.0627441!4d72.8828679!16s%2Fg%2F11sb3hh8zw!19sChIJo1TCq1PJ5zsRLUp17rwQzL8?authuser=0&hl=en&rclk=1,Sai Pan Bidi Shop,NA,,,"z=16,x=46035,y=29231"
JxYN_QwrJ5zsR9a0L-Ch10Ck,Muftie Azam Rd,General store,090121 29084,19.0588342,72.8771677,Avaliable,NA,https://www.google.com/maps/place/Shahar+Bano+Stores/data=!4m7!3m6!1s0x3be7c90a437f83c5:0x29d07528f80badf5!8m2!3d19.0588342!4d72.8771677!16s%2Fg%2F11vbxc2d_t!19sChIJxYN_QwrJ5zsR9a0L-Ch10Ck?authuser=0&hl=en&rclk=1,Shahar Bano Stores,NA,,,"z=16,x=46034,y=29232"
J1aGl8JXI5zsRAAAAsIwZQ0A,Shop No 7 Near Sbi Bank Prerna Chs,Pharmacy, 085910 41724,19.062921,72.8808832,Avaliable,NA,https://www.google.com/maps/place/REHAN+MEDICAL+%26GENERAL+STORES/data=!4m7!3m6!1s0x3be7c895f0a5a1d5:0x4043198cb0000000!8m2!3d19.062921!4d72.8808832!16s%2Fg%2F11rsslmn81!19sChIJ1aGl8JXI5zsRAAAAsIwZQ0A?authuser=0&hl=en&rclk=1,REHAN MEDICAL &GENERAL STORES,NA,,,"z=16,x=46035,y=29231"
JXenh9Q_J5zsR7Lry47BAO_4,"Shop No 9, Station Road",Fruit and vegetable store,079000 47499,19.0643413,72.8818579,Avaliable,NA,https://www.google.com/maps/place/Vinod+Trimbake+Fruit+Shop/data=!4m7!3m6!1s0x3be7c90ff5e1e95d:0xfe3b40b0e3f2baec!8m2!3d19.0643413!4d72.8818579!16s%2Fg%2F11ss4kj51z!19sChIJXenh9Q_J5zsR7Lry47BAO_4?authuser=0&hl=en&rclk=1,Vinod Trimbake Fruit Shop,NA,,,"z=16,x=46035,y=29231"
Js8n2QUjJ5zsRpUw3B5Qc_vw,"Shop D.07, Golden Plaza, bldg",Pet store,NA,19.0639648,72.8811151,Avaliable,In-store shopping,https://www.google.com/maps/place/Shaikh+pet+shop/data=!4m7!3m6!1s0x3be7c94841f6c9b3:0xfcfe1c9407374ca5!8m2!3d19.0639648!4d72.8811151!16s%2Fg%2F11s9xfps71!19sChIJs8n2QUjJ5zsRpUw3B5Qc_vw?authuser=0&hl=en&rclk=1,Shaikh pet shop,5.0 stars 3 Reviews,5,3,"z=16,x=46035,y=29231"
JNe6LI5bI5zsR2H8Y2wj4CfQ,"Shop No. Lhc, Brave Marg, 130, SG Barve Marg",Clothing store,098209 93348,19.0625328,72.8833046,Avaliable,In-store shopping,https://www.google.com/maps/place/Prabhat+Matching+Centre+-+Best+Saree+and+Dress+shop+in+kurla/data=!4m7!3m6!1s0x3be7c896238bee35:0xf409f808db187fd8!8m2!3d19.0625328!4d72.8833046!16s%2Fg%2F11cmd08p4y!19sChIJNe6LI5bI5zsR2H8Y2wj4CfQ?authuser=0&hl=en&rclk=1,Prabhat Matching Centre - Best Saree and Dress shop in kurla,4.6 stars 23 Reviews,4.6,23,"z=16,x=46036,y=29231"
JmwfNaLjJ5zsRzZRtrbypt-0,"Golden Plaza Co-operative Housing Society, SG Barve Marg",Fruit and vegetable store,062382 49517,19.0640195,72.8812931,Avaliable,NA,https://www.google.com/maps/place/Gajlu+Sk+Fruit+Shop/data=!4m7!3m6!1s0x3be7c9b868cd079b:0xedb7a9bcad6d94cd!8m2!3d19.0640195!4d72.8812931!16s%2Fg%2F11tx7wmgx7!19sChIJmwfNaLjJ5zsRzZRtrbypt-0?authuser=0&hl=en&rclk=1,Gajlu Sk Fruit Shop,NA,,,"z=16,x=46035,y=29231"
JDfFq7BLJ5zsR7QkZVSb_FpE,"Shop No 71 72, near Railway Station",Tobacco shop,081271 58682,19.0643418,72.8812212,Avaliable,NA,https://www.google.com/maps/place/M+S+D+PAN+SHOP+MUMBAI/data=!4m7!3m6!1s0x3be7c912ec6af10d:0x9116ff26551909ed!8m2!3d19.0643418!4d72.8812212!16s%2Fg%2F11svnj3hv3!19sChIJDfFq7BLJ5zsR7QkZVSb_FpE?authuser=0&hl=en&rclk=1,M S D PAN SHOP MUMBAI,NA,,,"z=16,x=46035,y=29231"
J-04NTYzJ5zsRDZvHnbDlr-k,Shop No. 1,Men's clothing store,090284 14418,19.0628683,72.8828549,Avaliable,Delivery,https://www.google.com/maps/place/Tiwari+Garment+Store/data=!4m7!3m6!1s0x3be7c98c4d0d4efb:0xe9afe5b09dc79b0d!8m2!3d19.0628683!4d72.8828549!16s%2Fg%2F11rzftlz48!19sChIJ-04NTYzJ5zsRDZvHnbDlr-k?authuser=0&hl=en&rclk=1,Tiwari Garment Store,5.0 stars 1 Reviews,5,1,"z=16,x=46035,y=29231"
JhUeG8_3J5zsRQn_3uMnyvSo,"Shop No 85, L/MHB/27, SG Barve Marg",Hardware store,086554 75030,19.0637037,72.8821055,Avaliable,In-store shopping,https://www.google.com/maps/place/New+Maharashtra+Store+Repairing/data=!4m7!3m6!1s0x3be7c9fdf3864785:0x2abdf2c9b8f77f42!8m2!3d19.0637037!4d72.8821055!16s%2Fg%2F11ks1586ql!19sChIJhUeG8_3J5zsRQn_3uMnyvSo?authuser=0&hl=en&rclk=1,New Maharashtra Store Repairing,NA,,,"z=16,x=46035,y=29231"
JXw9sc8_J5zsRblvhi6M7mmk,Shop No 5,Fruit and vegetable store,078005 03305,19.0632651,72.8833006,Avaliable,NA,https://www.google.com/maps/place/Niyaz+Vegetable+Shop/data=!4m7!3m6!1s0x3be7c9cf736c0f5f:0x699a3ba38be15b6e!8m2!3d19.0632651!4d72.8833006!16s%2Fg%2F11tk6phqqp!19sChIJXw9sc8_J5zsRblvhi6M7mmk?authuser=0&hl=en&rclk=1,Niyaz Vegetable Shop,NA,,,"z=16,x=46035,y=29231"
